Year,Quarter,GDP_(current_mkt_value),GDP_(ref_year=2002)
1993,Q1,788014.0,1067301.0
1993,Q2,782212.0,1039924.0
1993,Q3,832158.0,1086494.0
1993,Q4,861042.0,1147308.0
1994,Q1,914639.0,1179517.0
1994,Q2,893015.0,1146232.0
1994,Q3,903416.0,1135828.0
1994,Q4,978020.0,1226603.0
1995,Q1,1056017.0,1265610.0
1995,Q2,1039464.0,1256367.0
1995,Q3,1033957.0,1231962.0
1995,Q4,1088176.0,1314936.0
1996,Q1,1132820.0,1313862.0
1996,Q2,1157528.0,1336374.0
1996,Q3,1155207.0,1323012.0
1996,Q4,1193049.0,1382117.0
1997,Q1,1168694.0,1318993.0
1997,Q2,1163770.0,1309139.0
1997,Q3,1169774.0,1282881.0
1997,Q4,1208072.0,1296888.0
1998,Q1,1246004.0,1244216.0
1998,Q2,1130009.0,1145060.0
1998,Q3,1126499.0,1155997.0
1998,Q4,1199041.0,1265055.0
1999,Q1,1209798.0,1259716.0
1999,Q2,1148521.0,1206997.0
1999,Q3,1182199.0,1246015.0
1999,Q4,1249308.0,1317543.0
2000,Q1,1273893.0,1346757.0
2000,Q2,1223346.0,1279194.0
2000,Q3,1242676.0,1276273.0
2000,Q4,1329905.0,1352158.0
2001,Q1,1345986.0,1378078.0
2001,Q2,1315906.0,1326723.0
2001,Q3,1312614.0,1322686.0
2001,Q4,1370495.0,1407869.0
2002,Q1,1430285.0,1441030.0
2002,Q2,1408751.0,1411214.0
2002,Q3,1419016.0,1414291.0
2002,Q4,1511526.0,1503042.0
2003,Q1,1573720.0,1550742.0
2003,Q2,1524941.0,1500109.0
2003,Q3,1558177.0,1511005.0
2003,Q4,1660465.0,1622511.0
2004,Q1,1693076.0,1651929.0
2004,Q2,1683225.0,1594896.0
2004,Q3,1721028.0,1596306.0
2004,Q4,1856953.0,1730192.0
2005,Q1,1866057.0,1715539.0
2005,Q2,1828808.0,1663994.0
2005,Q3,1902798.0,1672102.0
2005,Q4,2016748.0,1796955.0
2006,Q1,2114526.0,1810063.0
2006,Q2,2046558.0,1738304.0
2006,Q3,2074685.0,1746759.0
2006,Q4,2164875.0,1893689.0
2007,Q1,2258183.0,1928792.0
2007,Q2,2187392.0,1829463.0
2007,Q3,2236014.0,1842192.0
2007,Q4,2394712.0,1979091.0
2008,Q1,2448502.0,1992940.0
2008,Q2,2445109.0,1893939.0
2008,Q3,2464336.0,1883585.0
2008,Q4,2348982.0,1939874.0
2009,Q1,2359124.0,1907673.0
2009,Q2,2342870.0,1836030.0
2009,Q3,2395561.0,1874133.0
2009,Q4,2561112.0,2039253.0
2010,Q1,2750665.0,2139668.0
2010,Q2,2652164.0,2000920.0
2010,Q3,2656614.0,1982245.0
2010,Q4,2748702.0,2109563.0
2011,Q1,2960302.0,2209743.0
2011,Q2,2810921.0,2037494.0
2011,Q3,2852152.0,2029932.0
2011,Q4,2683531.0,2024390.0
2012,Q1,3046078.0,2272805.0
2012,Q2,2993447.0,2160308.0
2012,Q3,3051976.0,2132192.0
2012,Q4,3265841.0,2337519.0
2013,Q1,3287583.0,2395328.0
2013,Q2,3139844.0,2219187.0
2013,Q3,3178279.0,2185277.0
2013,Q4,3309452.0,2342295.0
2014,Q1,3322196.0,2386444.034
2014,Q2,3242837.0,2237767.97
2014,Q3,3257779.0,2208911.957
2014,Q4,3407492.0,2398964.039
2015,Q1,3431888.0,2459674.65
2015,Q2,3333291.0,2303095.354
2015,Q3,3416379.0,2285060.32
2015,Q4,3561922.0,2473595.676
2016,Q1,3597737.0,2541549.0
2016,Q2,3557050.0,2390876.0
2016,Q3,3628315.0,2357971.0
2016,Q4,3807235.0,2558106.0
2017,Q1,3830606.0,2638918.0
2017,Q2,3753348.0,2494793.0
2017,Q3,3854593.0,2463648.0
2017,Q4,4050117.0,2662582.0
2018,Q1,4051915.0,2772249.0
2018,Q2,3998560.0,2610265.0
2018,Q3,4063764.0,2542313.0
2018,Q4,4254466.0,2764963.0
2019,Q1,4223706.0,2850075.0
2019,Q2,4156001.0,2672012.0
2019,Q3,4181774.0,2609915.0
2019,Q4,4336605.0,2800065.0
2020,Q1,4158483.0,2791110.0
2020,Q2,3545622.0,2348899.0
2020,Q3,3860959.0,2442804.0
2020,Q4,4133222.0,2682509.0
2021,Q1,4069354.0,2717499.0
2021,Q2,3510165.78,2325410.01
2021,Q3,3822349.41,2418375.96
2021,Q4,4295500.0,2732051.0
2022,Q1,4207712.036,2809893.966
2022,Q2,3629511.417,2404473.95
2022,Q3,3952309.29,2500600.743
2022,Q4,4441547.0,2824940.734
