year,passenger,commercial,motorcycle,total
1986,21950,56531,249752,328233
1987,26909,74451,310579,411939
1988,39232,107763,494586,641581
1989,47705,160436,588278,796419
1990,65813,238297,732848,1036958
1991,66778,202052,649727,918557
1992,121453,241583,868157,1231193
1993,172452,282548,1115946,1570946
1994,154500,331345,1333041,1818886
1995,158701,409915,1503872,2072488
1996,173606,415262,1242551,1831419
1997,132070,231198,927365,1290633
1998,46399,97844,490829,635072
1999,66851,151508,593676,812035
2000,83127,179126,796292,1058545
2001,104559,192577,926460,1223596
2002,126330,283073,1317000,1726403
2003,179418,354037,1687000,2220455
2004,209114,416764,1951000,2576878
2005,185761,517677,2053000,2756438
2006,191405,490603,1921000,2603008
2007,169559,461692,1558000,2189251
2008,225751,388333,1749000,2363084
2009,235169,313703,1519000,2067872
2010,340129,390904,1870000,2601033
2011,341800,362156,1859000,2562956
2012,658460,691399,2300000,3649859
2013,650791,637497,2042000,3330288
2014,353934,422074,1644000,2420008
2015,309322,409349,1579000,2297671
2016,310974,424980,1635000,2370954
2017,372278,444435,1807000,2623713
2018,439885,554428,1809000,2803313
2019,432760,524906,1675555,2633221
2020,296865,414326,1339945,2051136
2021,273272,397229,1447569,2118070
2022,295084,496759,1697910,2489753
